id,mass_dynamical [solar_mass],t0h [yr]
NGC 1904,63718.254748003164,2344821840.937131
NGC 362,78141.4232958944,2242063943.6048355
NGC 5946,40834.281685019974,2132363330.467089
NGC 6256,104383.68219834445,1911514471.5350666
NGC 6266,346081.098616914,2535312088.1209106
NGC 6284,108424.02639066221,3246911557.629753
NGC 6293,135613.87576943354,2301468402.734542
NGC 6325,46275.193260868604,739985435.2487471
NGC 6342,45389.72367774832,849508719.0149617
NGC 6397,36539.27510528033,1043595085.5598012
NGC 6522,93508.13525063737,1910314614.04891
NGC 6541,144611.85571457565,2832400150.9468627
NGC 6558,41362.10503007273,3458587615.7940626
NGC 6624,51101.9566341962,1347423336.6179817
NGC 6681,46743.00311052567,1172875449.8807535
NGC 6752,49624.32179408256,1947249304.83919
NGC 7078,512755.0449556581,5556386412.938098
NGC 7099,68274.21074019623,1996614847.992095
